Time,User,Executable,CommandLine,PID,Parent,PID,Privileges
20170721003610.877100+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --type=gpu-process --channel="10960.0.1965399033\178890542" --supports-dual-gpus=false --gpu-driver-bug-workarounds=2,23,51 --gpu-vendor-id=0x8086 --gpu-device-id=0x0166 --gpu-driver-vendor="Intel Corporation" --gpu-driver-version=10.18.10.4425 --ignored=" --type=renderer " --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" /prefetch:822062411,1796,10960,SeChangeNotifyPrivilege|
20170721003611.035110+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --type=renderer --disable-direct-write --lang=zh-CN --enable-pinch --device-scale-factor=1 --num-raster-threads=2 --content-image-texture-target=3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553 --video-image-texture-target=3553 --channel="10960.1.1588642296\320129425" --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" /prefetch:673131151,3736,10960,
20170721003611.083096+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --type=renderer --disable-direct-write --lang=zh-CN --extension-process --enable-pinch --device-scale-factor=1 --num-raster-threads=2 --content-image-texture-target=3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553 --video-image-texture-target=3553 --channel="10960.2.1354036394\636839278" --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" cbc /prefetch:673131151,6504,10960,
20170721003611.195015+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --type=renderer --disable-direct-write --lang=zh-CN --enable-pinch --device-scale-factor=1 --num-raster-threads=2 --content-image-texture-target=3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553 --video-image-texture-target=3553 --channel="10960.3.1673606717\1561573668" --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" /prefetch:673131151,8368,10960,
20170721003615.082357+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --type=ppapi --channel="10960.4.927199451\1558380766" --ppapi-flash-args --lang=zh-CN --device-scale-factor=1 --ignored=" --type=renderer " --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" /prefetch:-632637702,12840,10960,
20170721003619.764411+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\Browserxlite\Bdbr\smxbdbjxdpo.exe,C:\Users\GYL\AppData\Roaming\Baidu\Browserxlite\Bdbr\smxbdbjxdpo.exe --function: 1 1,8212,7432,SeChangeNotifyPrivilege|
20170721003700.442284+480,GYL-PC\GYL,C:\Windows\System32\IME\SHARED\imebroker.exe,C:\Windows\System32\IME\SHARED\imebroker.exe -Embedding,11932,980,SeChangeNotifyPrivilege|
20170721003659.517215+480,GYL-PC\GYL,C:\WINDOWS\system32\DllHost.exe,C:\WINDOWS\system32\DllHost.exe /Processid:{7966B4D8-4FDC-4126-A10B-39A3209AD251},9836,980,SeChangeNotifyPrivilege|
20170721003704.017022+480,GYL-PC\GYL,C:\WINDOWS\system32\cmd.exe,"C:\WINDOWS\system32\cmd.exe" ,6692,12572,SeChangeNotifyPrivilege|
20170721003704.042875+480,GYL-PC\GYL,C:\WINDOWS\system32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,7868,6692,SeChangeNotifyPrivilege|
20170721003704.533825+480,GYL-PC\GYL,C:\WINDOWS\system32\backgroundTaskHost.exe,"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca,12204,980,SeChangeNotifyPrivilege|
20170721003834.775052+480,None\None,None,None,8112,2320,N/A
20170721003836.922165+480,None\None,None,None,6288,3372,N/A
20170721003838.834580+480,GYL-PC\GYL,C:\Program Files\Git\usr\bin\bash.exe,"C:\Program Files\Git\usr\bin\bash.exe",10340,6404,SeChangeNotifyPrivilege|
20170721003838.641601+480,GYL-PC\GYL,C:\Program Files\Git\usr\bin\bash.exe,"C:\Program Files\Git\usr\bin\bash.exe",6404,5976,SeChangeNotifyPrivilege|
20170721003838.571178+480,GYL-PC\GYL,C:\WINDOWS\system32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,8344,12764,SeChangeNotifyPrivilege|
20170721003838.444596+480,GYL-PC\GYL,C:\Program Files\Git\usr\bin\mintty.exe,usr\bin\mintty.exe -o AppID=GitForWindows.Bash -o RelaunchCommand="C:\Program Files\Git\git-bash.exe" -o RelaunchDisplayName="Git Bash" -i /mingw64/share/git/git-for-windows.ico /usr/bin/bash --login -i,8400,8236,SeChangeNotifyPrivilege|
20170721003844.653129+480,GYL-PC\GYL,C:\Program Files\Git\usr\bin\bash.exe,"C:\Program Files\Git\usr\bin\bash.exe",3596,6404,SeChangeNotifyPrivilege|
20170721003844.739151+480,GYL-PC\GYL,C:\Program Files\Git\mingw64\bin\git.exe,"C:\Program Files\Git\mingw64\bin\git.exe" add .,6080,3596,SeChangeNotifyPrivilege|
20170721003846.758991+480,GYL-PC\GYL,C:\WINDOWS\system32\DllHost.exe,C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},7920,980,SeChangeNotifyPrivilege|
20170721003850.069779+480,GYL-PC\GYL,C:\WINDOWS\system32\backgroundTaskHost.exe,"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca,5600,980,SeChangeNotifyPrivilege|
20170721003852.459653+480,GYL-PC\GYL,C:\Program Files\Git\usr\bin\bash.exe,"C:\Program Files\Git\usr\bin\bash.exe",12012,6404,SeChangeNotifyPrivilege|
